ProjectName,Category,Subtitle,AwesomeNearLink,Series,ABBV,Icon,Website Link,Buy Link,Stake Link,DApp Link,Facebook,Twitter,Github,Telegram,Discord,Linkedin,Medium,Other Links,Near Token,Aurora Token,Ethereum Token,Other Tokens,Description,Grants,News Articles
Burrito Battle,"DApps,Gaming,NFT",Burrito Battle NFT video game built on the NEAR.,https://awesomenear.com/burrito-battle,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/burrito-battle.jpg,https://burritobattle.app/,,,https://testnet.burritobattle.app/,,https://twitter.com/burrito_battle,https://github.com/cloudmex/burrito-battle,,https://discord.com/invite/jSFyKgNFRp,,,"https://app.astrodao.com/dao/burrito-battle.sputnik-dao.near,https://docs.burritobattle.app/",,,,," Burrito Battle is a decentralized game made in Rust and based on the NEAR Protocol, which allows the community to acquire burritos (NFTs) and use them in combat with other burritos. Burrito Battle is:  ,The first donkey-based game on NEAR Protocol. ,Player Vs Environment (PvE) game. ,Player Vs Player (PvP) game. ,A highly oriented on-chain videogame. ,A sovereign economy videogame for each individual. ,A Decentralized Autonomous Organization. ,An Action RPG, 2D and Indie Game..",,
GRVTY,"DApps,Identity,Social",The Supernova of Social Media.,https://awesomenear.com/grvty,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/grvty.jpg,https://grvty.tech/,,,,,,,,,,,,,,,, GRVTY App is powered by NEAR. Each user has got a GRVTY ID - a Web 3.0 based digital identity that is the foundation of the ownership & transparency layer within the app. We start with progressive decentralisation with the ultimate goal to allow each user to completely own their data and have full control over permissions.,NEAR Grant,
NEAR India,"Ecosystem,Regional Hubs","Stay up to date on the latest news, events, and developments from the Ecosystem in India.",https://awesomenear.com/near-india,NEAR,,https://awesome-near.s3.amazonaws.com/near-india-hub.jpg,https://nearindia.xyz/,,,,,https://twitter.com/NearIndia,,https://t.me/nearindia,,https://www.linkedin.com/company/nearindia/,https://medium.com/@nearindiaofficial,,,,,," NEAR India Hub is a place for anyone interested in learning, using, or building on the NEAR protocol in India. We aim to provide resources and support for developers, entrepreneurs, and businesses in India who want to use or build on NEAR.",,
ShineDAO,"Aurora,DApps,DeFi,Exchanges",Discover & launch custom token deals.,https://awesomenear.com/shinedao,AURORA,,https://awesome-near.s3.amazonaws.com/shinedao.jpg,https://www.shinedao.finance/,,,,,https://twitter.com/ShineDAO_/,,,https://discord.com/invite/QkhbP7bZrj,,,https://docs.shinedao.finance/,,,,," ShineDAO is a permissionless & non-custodial marketplace for programmable OTC token deals. It enables launching a custom deal through a no-code UI while controlling rates, availability, access, discoverability & token distribution.",,
Carv,"DApps,Gaming,Identity,Social",Soulbound NFT Badge system upgraded.,https://awesomenear.com/carv,NEAR,(ARC),https://awesome-near.s3.amazonaws.com/carv.jpg,https://carv.io/,,,,,https://twitter.com/carv_official,,https://t.me/carv_official_global,https://discord.com/invite/KCtjhUpXn2,,https://medium.com/@carv,https://docs.carv.io/,,,,," Carv is a user-owned gaming identity that enables achievement display, friends & games discovery, direct monetization, and can be brought anywhere.",,
Encode Accelerator,"Ecosystem,Funding",Helping the best NEAR-based hackathon and early-stage projects become fully-fledged startups.,https://awesomenear.com/encode-accelerator,NEAR,,https://awesome-near.s3.amazonaws.com/encode-accelerator.jpg,https://www.encode.club/near-accelerator,,,,,https://twitter.com/encodeclub,,https://t.me/encodeclub,https://discord.com/invite/T59Natt3xs,,,,,,,," Following the success of our NEAR Educate series, as well as our NEAR Hackathon, Encode Club is delighted to announce the Encode x NEAR Accelerator! It is an eight-week online accelerator taking the best hackathon and early-stage projects worldwide and helping them take the leap to become fully-fledged startups.",,
Akash Network,"Dev Tooling,Infrastructure",A decentralized peer-to-peer marketplace for cloud compute.,https://awesomenear.com/akash-network,NEAR,(AKT),https://awesome-near.s3.amazonaws.com/akash-network.jpg,https://akash.network/,,,,https://www.facebook.com/akashnw,https://twitter.com/akashnet_,https://github.com/ovrclk,https://t.me/AkashNW,https://discord.com/invite/akash,https://www.linkedin.com/company/akash-network/,,https://docs.akash.network/,,,,, Akash Network is a decentralized cloud marketplace where tenants purchase cloud-grade compute in an open market from providers in a permissionless manner. The network is maintained by a network of validators and governed by AKT stakers.,,
iZUMi Finance,"Aurora,DApps,DeFi",Multi-chain DeFi protocol providing One-Stop Liquidity as a Service (LaaS).,https://awesomenear.com/izumi-finance,AURORA,(IZI),https://awesome-near.s3.amazonaws.com/izumi-finance.jpg,https://izumi.finance/,,,,,https://twitter.com/izumi_Finance,https://github.com/IzumiFinance/,https://t.me/izumifinance,https://discord.com/invite/izumifinance,,https://izumi-finance.medium.com/,https://docs.izumi.finance/,,,,," iZUMi Finance is a multi-chain DeFi protocol providing One-Stop Liquidity as a Service (LaaS). Its philosophy is that every token deserves better on-chain liquidity in an efficient and lasting way. As our name “iZUMi” in Japanese signifies, our ultimate goal is to help every partner and token to enjoy on-chain liquidity like spring water, continuous and long-lasting for centuries.",,
Kapital DAO,"DAO,Gaming",Leading provider of institutional-scale web3 gaming asset management protocols.,https://awesomenear.com/kapital-dao,NEAR,,https://awesome-near.s3.amazonaws.com/kapital-dao.jpg,https://www.kapital.gg/,,,https://app.kapital.gg/,,https://twitter.com/kapitaldao,,,https://discord.com/invite/kapitaldao,,https://medium.com/@kapitaldao,https://docs.kapital.gg/,,,,," The Kapital DAO is the leading provider of web3 gaming asset management tech, with top brands like Yield Guild Games (YGG) and others already using the platform to scale. The platform features key innovations around ""hierarchical delegation"" that enable multiple layers of institutional control in which admins own assets and delegate to managers, who then subdelegate to players – this framework is unique to our protocol, and does not readily exist elsewhere in the space.",,
Multifarm,"Aurora,DApps,DeFi,Yield Aggregators",Custom dashboards for DAOs and DeFi Protocols.,https://awesomenear.com/multifarm,AURORA,,https://awesome-near.s3.amazonaws.com/multifarm.jpg,https://www.multifarm.fi/,,,https://app.multifarm.fi/farms,,https://twitter.com/MultifarmFi,,,https://discord.com/invite/aE3DTfXnGC,,https://medium.com/@multifarm_fi,https://multifarm.gitbook.io/,,,,," Multifarm is a DeFi Data Platform that builds dashboards for other protocols and DAOs. By starting out and building the most comprehensive yield farming dashboard in the DeFi industry we discovered the need to support other protocols in extracting data from the blockchain and making it visible in the form of different types of dashboards. Multifarm’s dashboards are easy to understand, fully customizable and benefit protocols and users alike.",,
Etherspot,"Aurora,Dev Tooling",Multichain Smart Wallet platform.,https://awesomenear.com/etherspot,AURORA,,https://awesome-near.s3.amazonaws.com/etherspot.jpg,https://etherspot.io/,,,,,https://twitter.com/etherspot,https://github.com/etherspot/,https://t.me/etherspot,https://discord.com/invite/JHRmWGpP3F,,https://medium.com/etherspot,https://docs.etherspot.dev/,,,,," Etherspot is a managed, multi-chain Smart Wallet platform that allows you to exploit the best features of the Ethereum blockchain and any EVM compatible chain quickly and with minimal effort and cost.",,
Swidge,"Aurora,Bridges,DApps,Infrastructure",Swapping + bridging  across multiple chains with only one transaction. ,https://awesomenear.com/swidge,AURORA,,https://awesome-near.s3.amazonaws.com/swidge.jpg,https://www.swidge.xyz/,,,https://app.swidge.xyz/,,https://twitter.com/therealswidge,https://github.com/SwidgeTeam,,https://discord.com/invite/MjhudCdV,,https://medium.com/@swidge.team,,,,,," Swidge [swidʒ][gr. Σςιδγε | rus. Ыцшвпу] or to swidge is a neologism, derived from the words Swap and Bridge. Together they form a Portmanteau (a blend of words), a substitute and abbreviation for the lengthy description “any-to-any swap” — transferring a crypto from one chain to another and swapping it to another currency at the same time with only one confirmation by the user.",,
Tonana,"Aurora,Bridges,DApps,Infrastructure",Blockchain connector for liquidity & protocols.,https://awesomenear.com/tonana,"NEAR,AURORA",,https://awesome-near.s3.amazonaws.com/tonana.jpg,https://tonana.org/,,,https://app.tonana.org/,,https://twitter.com/Tonanadao,https://github.com/tonanadao,https://t.me/tonanadao,https://discord.com/invite/wy9x6jF8PC,https://www.linkedin.com/company/tonana/,,,,,,," Tonana Defi Hub is a decentralized software-development organization working hand-in-hand with entrepreneurs and organizations inside and outside Web 3.0. With rich experience in commercial blockchain development and participation in the blockchain community, Tonana team is committed to developing and testing cutting-edge ideas and business models that make sense.",NEAR Grant,
AirdropMe,"Aurora,DApps",Token Distributions in Bulk & DAO Rewards.,https://awesomenear.com/airdropme,AURORA,,https://awesome-near.s3.amazonaws.com/airdropme.jpg,https://airdropme.io/,,,,,https://twitter.com/airdropme_io,,,,,https://medium.com/@AirdropMe,,,,,," AirdropMe is a game-changing new web3 dApp that is making airdrops on Ethereum popular again — On many networks for that matter. It dramatically reduces the lower (but still high) costs of airdrops on other blockchains too. Additionally, AirdropMe.io puts the choice in the airdrop distributor’s hands about who should pay the commission. ",,
NearOracle,"DApps,Identity",A credit scoring oracle on NEAR.,https://awesomenear.com/nearoracle,NEAR,,https://awesome-near.s3.amazonaws.com/nearoracle.jpg,https://www.nearoracle.com/,,,,,,https://github.com/BalloonBox-Inc,,,,https://medium.com/balloonbox-dapps,,,,,," NearOracle allows you to log into one of three possible validators: your Coinbase account, your MetaMask wallet, or the financial institution with whom you bank. The oracle retrieves data on your financial history, and algorithmically calculates and returns your credit score. The dApp further allows you to store your credit score on the NEAR blockchain as well as mint your credit score as an NFT. You will incur a small gas fee to cover both the calculation and blockchain storage costs. While your data remains private, your score will be permanently added to the blockchain and you can view it for free at any time in the future. Similarly, you can visualize your NFTs among the collectibles in your NEAR wallet.",,
DoDAO,"DAO,DApps",Onboarding Platform for Web3.,https://awesomenear.com/dodao,NEAR,,https://awesome-near.s3.amazonaws.com/dodao.jpg,https://www.dodao.io/,,,https://near.dodao.io/,,https://twitter.com/dodao_io,,,,,,https://app.astrodao.com/dao/dodao.sputnik-dao.near,,,,, We believe that DAOs will play a major role in Social Good. Our mission is to have at least ONE million DAOs by 2025 and make DAOs accessible to mass public.,,
Lacrove,"Collectibles,NFT",A Digital Fashion Tribe with 1234 3D NFT of famous sneakers to the Tigers head.,https://awesomenear.com/lacrove,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/lacrove.jpg,https://lacrove.io/,,,,,https://twitter.com/LacroveNFT,,,https://discord.com/invite/MQdqF3dKDF,,https://medium.com/@lacrove,,,,,," Lacrove is a digital fashion tribe with a 3D NFT collection living on the NEAR made of famous sneakers to the tiger's heads that focuses on digital fashion development and on a mission to shift fashion brands and designers to build digital fashion reality and provide alternative solutions to alleviate problems caused by the conventional fashion industry. Lacrove holders will get exclusive offers of Lacrove Studio: NFT Marketplace where fashion brands, designers, and enthusiasts collaborate to establish a digital fashion reality.",,
Conreality,"Aurora,Gaming",We're bringing live-action gaming to the 21st century.,https://awesomenear.com/conreality,AURORA,,https://awesome-near.s3.amazonaws.com/conreality.jpg,https://conreality.com/,,,,https://www.facebook.com/conreality,https://twitter.com/ConrealityGame,,,,,,,,,,," Conreality is a tech startup building products & services for shooting live-action games like airsoft and paintball. We create hardware & software for arena operators, players & players teams.",Aurora Grant,
MAP Protocol,"Interoperability,Infrastructure",Omnichain layer of Web3 with absolutely secure cross-chain communication built on Light-client and ZK technology.,https://awesomenear.com/map-protocol,"COMING SOON,NEAR",(MAP),https://awesome-near.s3.amazonaws.com/map-protocol.jpg,https://www.maplabs.io/,,,,,https://twitter.com/MapProtocol,https://github.com/mapprotocol,https://t.me/MAPprotocol,https://discord.com/invite/zjjTk5Cp,,https://mapprotocolofficial.medium.com/,https://docs.maplabs.io/,,,,," MAP Protocol is a blockchain interoperable protocol designated for cross-chain Dapps, application-ready, all-chain coverage, cost-efficient, and security-finality. MAP Protocol provides verification finality by Light-client, supports smart contract development on Map Relay Chain, offers cross-chain services components for Dapp's convenient deployment, and enables universal connections with all chains by proactively embedding other chains' feature as pre-compiled contracts in EVM layer of Map Relay Chain. MAP Protocol maintains a cost-efficient network by simply charging Map Relay Chain's gas fee for cross-chain transactions. While cross-chain bridges can be easily built with MAP protocol, the protocol itself targets a more fundamental problem and pursues grander vision: boosting the whole cross-chain ecosystem by building a solid cross-chain Dapp infrastructure. Any Dapp built with the infrastructure automatically inherits the cross-chain nature of MAP protocol without requiring the developers to tackle the error-prone cross-chain communications. With the technical threshold of building cross-chain Dapp reduced, the ecosystem shall thrive.",NEAR Grant,
iiNDYVERSE,"DApps,Metaverse,Marketplaces,NFT",Customer Engagement Platform for the Web3 era.,https://awesomenear.com/iindyverse,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/iindyverse.jpg,https://www.iindyverse.com/,,,,,https://twitter.com/iindyverse,,,,,https://medium.com/@iiNDYVERSE,,,,,, Marketers use iiNDYVERSE to supercharge community engagement.  iiNDYVERSE is the Customer Engagement Platform for the Web3 era. They provide no code tools that enable SMBs to create gamified Web3 marketing automations within AR/VR spaces.,,
Defined,"Aurora,Data,Dev Tooling,Infrastructure,NFT",DeFi Crypto Price Charts & API.,https://awesomenear.com/defined,AURORA,,https://awesome-near.s3.amazonaws.com/defined.jpg,https://www.defined.fi/,,,,,https://twitter.com/definedfi,,https://t.me/definedfi,https://discord.com/invite/mFpUhT3vAq,,https://medium.com/@definedfi,,,,,," Defined is a data platform for the open web that empowers users to query on-chain data and interact across multiple blockchains and DeFi protocols. Investors: Version One, Tiny, Rasool Rayani, Compound, Capital6 Eagle, Kamunting Street Capital, Mark Cuban, Inflection, Portico, and Balaji Srinivasan.",,
Unit Network,"DAO,Ecosystem,Infrastructure",Driving the new token economy.,https://awesomenear.com/unit-network,NEAR,,https://awesome-near.s3.amazonaws.com/unit-network.jpg,https://www.unit.network/,,,,https://www.facebook.com/theunitnetwork,https://twitter.com/theunitnetwork,,https://t.me/UnitNetwork,https://discord.com/invite/NRXC8FVFAs,,,https://www.unit.network/documents/Unit_Litepaper_2022_v3.pdf,,,,," Unit Network connects creators and communities on a decentralised marketplace with powerful, secure and user-friendly tools. Unit Network provides a free, simple and secure pathway for businesses, projects and
individuals to create their own tokens, which can be ‘community’ or ‘social’ tokens. This enables
anyone in the world to participate in and benefit from all token-based economies they have
helped to build.",,
Carbonite Club,"DApps,Identity",An On-Chain Anonymous Identity builder based on Proof of Tasks.,https://awesomenear.com/carbonite-club,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/carbonite-club.jpg,https://www.carbonite.club/,,,,,https://twitter.com/CarboniteClub,https://github.com/CarboniteClub,,https://discord.com/invite/JAA4Jdu6MV,,,,,,,, Build your On-Chain Anonymous Identity based on Proof of Tasks and Earn Crypto.,,
Murder Mystery Collective,"Collectibles,Gaming,NFT",Community based solve & earn murder mystery game.,https://awesomenear.com/murder-mystery-collective,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/murder-mystery-collective.jpg,https://www.playmmc.io/,,,,,https://twitter.com/playmmc,,,,,,,,,,," John Norris, a reporter for the durum county times and reporter and community pest, was discovered in the parking lot of the new fsm superstore, apparently murdered. Under the pretense that he was covering the store’s grand opening, john had actually been investigating a possible conspiracy after receiving an email with the subject heading: there’s more than a store. Police chief ima resting has requested the assistance of public volunteers to help in solving this high-profile case.",,
Clubeeo,"DAO,NFT,Utilities",Web3 community automation and gamification platform.,https://awesomenear.com/clubeeo,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/clubeeo.jpg,https://clubeeo.com/,,,,,https://twitter.com/ClubeeoOfficial,https://github.com/clubeeo,https://t.me/clubeeo,https://discord.com/invite/C6jHsjzZ3f,,,,,,,," Clubeeo is a service for DAOs and NFT projects that helps community managers to engage members, gamify and scale community. We are making a tools for automation marketing and gamification.",,
NearFi Wallet,"Infrastructure,Wallets",Your NEAR DeFi experience On The Go.,https://awesomenear.com/nearfi-wallet,NEAR,,https://awesome-near.s3.amazonaws.com/nearfi-wallet.jpg,https://nearfi.finance/,,,,,https://twitter.com/NearFi_Wallet,,https://t.me/nearfiwallet,https://discord.com/invite/zvCyV8Qper,,https://medium.com/@nearfi,https://docs.nearfi.finance/,,,,," NearFi wallet allows users to store and manage their NEAR assets (NFT, token) right on their phones. NearFi is an All-in-One wallet that acts as a portal for mobile users to access the NEAR ecosystem. All DeFi services on NEAR blockchain such as AMM, lending, margin DEX, stablecoin swap, and yield farming are integrated.",,
Fractal,"Aurora,Identity,Infrastructure,Privacy",Empowering and incentivizing users & businesses to exchange data in a privacy-preserving way.,https://awesomenear.com/fractal,"COMING SOON,AURORA",,https://awesome-near.s3.amazonaws.com/fractal.jpg,https://web.fractal.id/,,,,,https://twitter.com/fractalprtcl,https://github.com/trustfractal,https://t.me/fractal_protocol,https://discord.com/invite/fractal,,https://medium.com/frctls,https://fractal-id.gitbook.io/fractal-gitbook/,,,,," Fractal’s mission is to empower and incentivize users & businesses to exchange data in a privacy-preserving way so that the balance of power and control between web platforms and their users is restored. Fractal is working towards a world in which web users are gatekeepers of their own data. To this end, we are developing blockchain-based infrastructure in accordance with the Web3 vision: “a decentralized and fair internet where users control their own data, identity, and destiny.” ",,
DotOracle,"Aurora,Bridges,Interoperability,Infrastructure,Oracles",Realtime decentralized Oracle and Cross-chain liquidity network.,https://awesomenear.com/dotoracle,"COMING SOON,AURORA",,https://awesome-near.s3.amazonaws.com/dotoracle.jpg,https://dotoracle.network/,,,,,https://twitter.com/DotOracle,https://github.com/dotoracle,https://t.me/dotoracle,,,https://medium.com/@dotoracle.network,https://docs.dotoracle.network/,,,,," DotOracle is a real-time decentralized Oracle and Cross-chain liquidity network for EVM, non-EVM (Casper, Near, Aptos), and L2 blockchains. The four main products: ,Multichain bridge: Fast, Affordable, and Secure way of moving liquidity between EVM, non-EVM (Casper, NEAR, Aptos), and L2 blockchains.,Decentralized oracle: An advanced decentralized data feeding protocol offering multiple, real-time data sources with complementarity to and synergy with off-chain workers.,Multichain NFT bridge: High scalability with superior security. It works by creating wrapped NFTs that preserve the original assets’ metadata without duplicating the assets themselves. The original NFTs are safely stored in custody and can be restituted to the holder if needed.,Privacy-preserving bridge: Support privacy preservation for users when bridging stablecoins from other chains to Casper..",,
Capital DEX,"Aurora,DAO,DApps,DeFi,DEX,Exchanges",The #1 AMM and yield farm on SKALE.,https://awesomenear.com/capital-dex,"COMING SOON,AURORA",,https://awesome-near.s3.amazonaws.com/capital-dex.jpg,https://capitaldex.exchange/,,,,,https://twitter.com/curio_invest,https://github.com/CurioTeam,,,,https://investcurio.medium.com/,,,,,," Capital DEX is a gasless decentralized exchange and yield farm on SKALE. It was launched on December 25, 2020 in Switzerland. Powered by Ethereum, Capital DEX uses a liquidity protocol based on the Automated Market Maker (AMM) algorithm to exchange ERC-20 tokens. Wrapped tokens of the world’s first tokenized Ferrari F12tdf by CurioInvest are now traded on Capital DEX. Chainlink Oracles are used to ensure the integrity of price feeds for the CT1 Ferrari token. CurioDAO is a decentralized launchpad that helps promising real-world assets achieve their full potential via tokenization by leveraging the investment power and buzz-making potential of our community.",Aurora Grant,
Kin DAO,"DAO,Ecosystem","Employing digital tools to bring equitable systems to the physical through Art, Collective Land Stewardship and Regenerative Systems Creation",https://awesomenear.com/kin-dao,NEAR,,https://awesome-near.s3.amazonaws.com/kin-dao.jpg,https://www.thekindao.com/,,,,,https://twitter.com/thekindao,,,https://discord.com/invite/tEsHPMmbju,,,https://app.astrodao.com/dao/thekindao.sputnik-dao.near,,,,," Employing digital tools to bring equitable systems to the physical through Art, Collective Land Stewardship and Regenerative Systems Creation.",,
Gravis Finance,"Aurora,DeFi,GameFi,Infrastructure,NFT",Gamified DeFi Ecosystem.,https://awesomenear.com/gravis-finance,AURORA,(GRVS),https://awesome-near.s3.amazonaws.com/gravis-finance.jpg,https://gravis.finance/,,,,,https://twitter.com/GravisFi,https://github.com/gravis-finance,https://t.me/Gravis_Finance_en,https://discord.com/invite/db3uDqKhqK,,https://medium.com/gravis-finance,,,,,," Gravis Finance is an ecosystem that unites DeFi platform, NFT marketplace for in-game assets, and Evervoid game. We provide all the necessary instruments for managing your crypto assets on any chain.",Aurora Grant,
Histopia,"Aurora,DApps,Gaming,Metaverse,NFT",MMORPG blockchain-based Metaverse to build your kingdom.,https://awesomenear.com/histopia,"COMING SOON,AURORA",(ERA),https://awesome-near.s3.amazonaws.com/histopia.jpg,https://histopia.io/,,,,,https://twitter.com/histopia_io,,https://t.me/histopia_io,https://discord.com/invite/8WyQcvf4E7,,https://medium.com/@histopia_io,https://doc.histopia.io/,,,,," Histopia is a city-building, resource management game, with its blockchain features making it the world’s first open-world multichain metaverse game. Build your cities, harvest your land’s resources, expand your territory and fight against other players! The historical Metaverse includes a primary token called the “ERA” for the governance system and various Non-Fungible Tokens (NFTs such as lands, various characters, spells, variety of tools which can be used to upgrade the militia level, buildings, etc.) and various Fungible Tokens in the form of extractable/generable resources (such as natural resources like water, wood, iron, stone, gold, food, etc.). In Histopia, the advances in technology are managed by the player, a good management will lead to a higher level of technology, that will result in more economic and military power, hence the player will be able to manufacture more complex and efficient products.",Aurora Grant,
Arbitoor Aggregator,"DApps,DeFi,Exchanges",The Liquidity Aggregator and Swap Infrastructure for NEAR.,https://awesomenear.com/arbitoor-aggregator,NEAR,,https://awesome-near.s3.amazonaws.com/arbitoor-aggregator.jpg,https://arbitoor.com/,,,,,https://twitter.com/arbitoor,https://github.com/arbitoor,,https://discord.com/invite/yaQFbBs6Hg,,https://medium.com/@Arbitoor,https://docs.arbitoor.com/,,,,," Arbitoor is your single liquidity access point for trading any asset in the NEAR ecosystem.  Arbitoor offers a premier DEX aggregation platform, where all DEXs on NEAR native chain and Aurora are accessible via one intuitive, best-in-class UI/UX. By enabling NEAR/Aurora cross-chain interoperability, Arbitoor drives value from each NEAR instance to the other.",,
Minimax Finance,"Aurora,DApps,DeFi,Yield Aggregators",Multi-chain yield aggregators hub with blazing-fast UI.,https://awesomenear.com/minimax-finance,AURORA,(MMX),https://awesome-near.s3.amazonaws.com/minimax-finance.jpg,https://www.minimax.finance/,,,https://app.minimax.finance/vaults,,https://twitter.com/MinimaxFinance,https://github.com/minimaxdefi,https://t.me/MinimaxFinanceChannel,https://discord.com/invite/A6GJ6Qktwm,,,"https://blog.minimax.finance/,https://docs.minimax.finance/",,,,," Minimax.finance is a smart proxy for multiple protocols across DeFi, which enables you to handle your DeFi investments in one place. We are a multi-chain yield aggregators hub with a set of advanced features for effective management of crypto investments.  Our platform lets you enjoy the great benefits of DeFi (high APYs and ease of asset manipulation) and not be worried about its risks (impermanent loss or sharp token depreciation).",,
Creatives DAO,"DAO,Ecosystem,NFT",DAO vertical from NEAR Protocol supporting creatives.,https://awesomenear.com/creatives-dao,NEAR,,https://awesome-near.s3.amazonaws.com/creatives-dao.jpg,,,,,,https://twitter.com/creativesdao,,https://t.me/CreativesDAO,https://discord.com/invite/mmWB2pABBa,,,,,,,, DAO vertical from NEAR Protocol supporting creatives.,,
AstroMarket,"DApps,Marketplaces,NFT",Community driven NFT marketplace on NEAR.,https://awesomenear.com/astromarket,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/astromarket.jpg,,,,,,https://twitter.com/astromarketnear,,,,,,,,,,," AstroMarket is a secondary FT marketplace for all NEAR FT collections to trade post-mint, working seamlessly with our generative NFT launchpad, AstroGen. AstroMarket users will incur a 2% marketplace royalty fee when buying or selling an NFT 50% of that getting distributed to delisted NEARNaut holders. Holders of $ASTRO token can reduceAstroMarket fees and earn rewards through a structured tier-based system.",,
Genadrop,"DApps,NFT,Utilities","The No Code NFT Generative, Art Creator Tool & Minter.",https://awesomenear.com/genadrop,"NEAR,AURORA",,https://awesome-near.s3.amazonaws.com/genadrop.jpg,https://www.genadrop.com,,,https://www.genadrop.com/create,,https://twitter.com/genadrop,,,https://discord.com/invite/4vdtmQqz6d,,,https://www.genadrop.com/docs,,,,," GenaDrop is the ultimate multi-chain no code generative NFT creator, minter, and marketplace. Coming from the name ""Generative Drops"". GenaDrop allows artists to create layer, choose rarities, add conflict rules, add blank images, pick the number to generate, generate preview, delete bad images, edit metadata, download a zip, upload to IPFS, mint to multiple blockchains with a simple to use user interface.",,
Castle Overlord,"DApps,Gaming,NFT",Assemble your army and become the greatest overlord.,https://awesomenear.com/castle-overlord,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/castle-overlord.jpg,https://www.castleoverlord.com/,,,,https://www.facebook.com/castleoverlord,https://twitter.com/COverlordGame,,,https://discord.com/invite/wkAE2hmxce,,,https://castleoverlord.gitbook.io/,,,,," Castle Overlord is intended to be a source of both entertainment and strategic investment. As an experienced developer team, we understand the importance of product quality. We aim to offer a polished product with a long-term plan for growth and sustainability. We make Castle Overlord accessible to a wide audience with a low entry barrier. We offer staking rewards for NFT holders, with more token use cases to be implemented later. Our plan is to support Castle Overlord for at least 4 years, with possible expansions down the road.",,
MonkeONear,"Collectibles,NFT,Utilities",444 Monkes engraving the future.,https://awesomenear.com/monkeonear,NEAR,,https://awesome-near.s3.amazonaws.com/monkeonear.jpg,https://www.monkeonear.com/,,,,,https://twitter.com/MonkeONear,,,https://discord.com/invite/MonkeONear,,https://monkeonear.medium.com/,,,,,," MonkeONear is bringing 444 Monkes to the Near blockchain who will be key in developing and managing an automated voting system (ECONEAR) to help everyone on NEAR to discover blue chip projects and promising projects all in one place with built-in data analysis tools correlating data from all market places, social media platforms and community influences!",,
XRAVERS,"Collectibles,Music,NFT","10k rave alter egos, supercharged with AI to create music tracks.",https://awesomenear.com/xravers,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/xravers.jpg,https://www.xravers.com/,,,,,https://twitter.com/XHACIENDA,,,https://discord.com/invite/8DX5BcsJCZ,,,,,,,," XRAVERS unite 10,000 unique 8bit animated dance characters immersed into the blockchain. All the XRAVERS were hand-drawn, pixel by pixel, animated with love, and generated by a custom Lua algorithm.",,
BetterHQ,"DAO,DApps,Utilities",Turn your project GitHub into a marketplace for ideas.,https://awesomenear.com/betterhq,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/betterhq.jpg,https://betterhq.org/,,,,,https://twitter.com/betterdao,https://github.com/better-feedback,,https://discord.com/invite/wwwwRFa6aj,,,,,,,," Better turns your project's GitHub repository into a marketplace for ideas - by matching feature requests and other ideas from your community, with builders and creators to implement them. To get started simply fork the Better repo and host your own Better page! Track your community's dApp feature ideas, outsource content and dev into bounties, or run your own grants program!",,
Armored Kingdom,"Collectibles,Gaming,NFT",A multi-media entertainment universe.,https://awesomenear.com/armored-kingdom,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/armored-kingdom.jpg,https://armoredkingdom.com/,,,,,https://twitter.com/armoredkingdom,,,https://discord.com/invite/AsnGVmvW,,,https://codex.armoredkingdom.com/,,,,," Armored Kingdom is a multi-media entertainment universe encompassing comic books, an animated series and an NFT-based card game. It’s designed to attract a wide audience and keep them engaged with all aspects of the evolving storyline. Set on a medieval fantasy world, Armored Kingdom is a genre-blending, character-driven story of conflict, treachery and mystery. Three warring factions—the anthropomorphized jungle animals from the Kingdom of the Horn, the sea-dwelling creatures known as the Costraca and the humans of the Veldt—are about to enter a critical battle that could leave all three armies decimated. But before any blood is spilled, a new nemesis emerges in the form of a mysterious spacecraft as large as a city. The ship remains motionless, but the silent threat forces the three empires into a fragile alliance. But there are enemies within their ranks, and the chaos creates opportunities for those who would seize power no matter the cost. When the coalition leader is assassinated, a ragtag team of fugitives must prove their innocence while taking on a desperate quest for lost magical artifacts—powerful weapons that may be their only hope to fend off an alien invasion. Drawing on a rich, multicultural world with deep backstories and a serialized storyline featuring shocking twists and turns, this central narrative will drive synergy throughout our expanding universe of comics, games, and animation.",,https://awesomenear.com/articles/armored-kingdom-launches-new-scifi-fantasy-media-platform-on-near
